ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"[""Women's"", 'Blue', 'Color', 'Silk', 'Based', 'Zari', 'and', 'Kach', 'Worked', 'Blouse', 'with', 'Half', 'Sleeve', 'Sleeve', 'and', 'U-Neck', 'Neck,blouse', 'linisa']",592.jpeg,blouse linisa,Women's Blue Color Silk Based Zari and Kach Worked Blouse with Half Sleeve Sleeve and U-Neck Neck,blue color silk based zari kach worked blouse sleeve sleeve u neck linisa
"['stretchable', 'blouse', '28', 'to', '46', 'size', 'cotton', 'lycra', 'for', 'women,blouse', 'life', 'win']",593.jpeg,blouse life win,stretchable blouse 28 to 46 size cotton lycra for women,stretchable blouse cotton lycra life win
"[""Women's"", 'Unstitched', 'Blouse', 'Material,blouse', 'meram', 'fab']",594.jpeg,blouse meram fab,Women's Unstitched Blouse Material,unstitched blouse meram fab
"['Fashion', 'Stretchable', 'Designer', 'Blouse', 'With', 'Front', 'Chain', 'Half', 'Sleevs', '-', 'HC', '03,blouse', 'himalay']",595.jpeg,blouse himalay,Fashion Stretchable Designer Blouse With Front Chain Half Sleevs - HC 03,fashion stretchable designer blouse front chain sleevs hc himalay
"[""Women's"", 'Multicolour', 'Embroidery', 'Handwork', 'Back', 'Neck', 'Designs', 'Readymade', 'Blouse,blouse', 'generic']",596.jpeg,blouse generic,Women's Multicolour Embroidery Handwork Back Neck Designs Readymade Blouse,multicolour embroidery handwork back neck design readymade generic
"[""Women's"", 'Cotton', 'Lycra', 'Solid', 'Elbow', 'Sleeves', 'Crop', 'Top', 'Saree', 'Blouse', '(RR108N_BM_Orange_32-36),blouse', 'blockmoda']",597.jpeg,blouse blockmoda,Women's Cotton Lycra Solid Elbow Sleeves Crop Top Saree Blouse (RR108N_BM_Orange_32-36),cotton lycra solid elbow sleeve crop top saree blouse blockmoda
"[""Women's"", 'Brocade,Inner-Cotton', 'Stiched', 'Blouse', '(Black', 'Pink,M)-PID29907,blouse', 'india', 'mantra']",598.jpeg,blouse india mantra,"Women's Brocade,Inner-Cotton Stiched Blouse (Black Pink,M)-PID29907",cotton stiched blouse india mantra
"[""Women's"", 'Plain', 'Pure', 'Cotton', 'Stitched', 'Blouse,blouse', 'janasya']",599.jpeg,blouse janasya,Women's Plain Pure Cotton Stitched Blouse,pure cotton stitched janasya
"['Chandana', 'Brothers', 'Kakinada', 'Readymade', 'Blouse', 'with', 'Embroider', 'Work', 'and', 'Front', 'Open', 'Type', 'Red,blouse', 'cbros']",600.jpeg,blouse cbros,Chandana Brothers Kakinada Readymade Blouse with Embroider Work and Front Open Type Red,chandana brother kakinada readymade blouse embroider work front open type cbros
"[""Women's"", 'Gorgeous', 'Phantom', 'Silk', 'Black', 'Embroidered', 'Stitch', 'Blouse,blouse', 'bandidhari', 'fashion']",601.jpeg,blouse bandidhari fashion,Women's Gorgeous Phantom Silk Black Embroidered Stitch Blouse,gorgeous phantom silk embroidered stitch bandidhari fashion
